,log_id,problem_id,user_id,is_correct,attempts,score_x,submit_time,concept_id,title,content,option,answer,score_y,type,typetext,location,context_id,exercise_id,language
35,14424233_738114,Pm_738114,U_14424233,1,1,1.0,2020-05-18 00:32:58,K_高优先级_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,下列关于伏羲资源调度优先级策略的说法错误的是？(  ),"{'A': '每个job在提交时会带一个priority值，一个整数值，越大优先级越高', 'B': '相同优先级按提交时间，先提交的优先级高', 'C': '资源优先分配给高优先级的job，剩余的资源继续分配给次高优先级job', 'D': '允许有高优先级的紧急任务加入'}","[""A""]",1.0,1.0,单选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
36,14424233_738115,Pm_738115,U_14424233,1,1,1.0,2020-05-18 00:33:02,K_资源调度_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,伏羲资源调度支持抢占，下面说法错误的是？(  ),"{'A': 'FuxiMaster会从当前正在运行的任务中，从最低优先级任务开始强制收回资源', 'B': '最低优先级任务被抢占后，抢占过程即终止', 'C': '抢占会一直递归进行', 'D': '不能抢比自己优先级高的任务'}","[""B""]",1.0,1.0,单选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
37,14424233_738116,Pm_738116,U_14424233,1,1,2.0,2020-05-18 00:33:06,K_调度策略_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,阿里云伏羲分布式调度系统与社区Hadoop MR最大的区别是？(  ),"{'A': 'Hadoop是一层架构集中资源和任务调度，而伏羲是两层架构独立的资源和任务调度', 'B': 'Hadoop存在规模瓶颈，而伏羲规模横向扩展性更好', 'C': 'Hadoop与伏羲的调度策略不同', 'D': 'Hadoop jobtracker没有failover，伏羲有完善的failover功能'}","[""A"", ""B"", ""D""]",2.0,2.0,多选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
38,14424233_738116,Pm_738116,U_14424233,1,1,2.0,2020-05-18 00:33:06,K_阿里云_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,阿里云伏羲分布式调度系统与社区Hadoop MR最大的区别是？(  ),"{'A': 'Hadoop是一层架构集中资源和任务调度，而伏羲是两层架构独立的资源和任务调度', 'B': 'Hadoop存在规模瓶颈，而伏羲规模横向扩展性更好', 'C': 'Hadoop与伏羲的调度策略不同', 'D': 'Hadoop jobtracker没有failover，伏羲有完善的failover功能'}","[""A"", ""B"", ""D""]",2.0,2.0,多选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
39,14424233_738117,Pm_738117,U_14424233,1,1,2.0,2020-05-18 00:33:10,K_资源调度_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,伏羲资源调度的目标包括？(  ),"{'A': '集群资源利用率最大化', 'B': '每个任务的资源等待时间最小化', 'C': '能分组控制资源配额', 'D': '能支持临时紧急任务'}","[""A"", ""B"", ""C"", ""D""]",2.0,2.0,多选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
40,14424233_738117,Pm_738117,U_14424233,1,1,2.0,2020-05-18 00:33:10,K_集群_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,伏羲资源调度的目标包括？(  ),"{'A': '集群资源利用率最大化', 'B': '每个任务的资源等待时间最小化', 'C': '能分组控制资源配额', 'D': '能支持临时紧急任务'}","[""A"", ""B"", ""C"", ""D""]",2.0,2.0,多选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
43,14424233_738120,Pm_738120,U_14424233,1,1,2.0,2020-05-18 00:33:22,K_加数_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,伏羲在支持大规模方面采用了哪些技术？(  ),"{'A': '多线程', 'B': '增量资源调度', 'C': '异步', 'D': '增加数据量'}","[""A"", ""B"", ""C""]",2.0,2.0,多选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
46,14424233_738123,Pm_738123,U_14424233,1,1,1.0,2020-05-18 00:34:25,K_BSP模型_计算机科学与技术,第四讲 分布式编程模型的设计与演化--QUIZ,下面哪个阶段在BSP模型中可以独立并发执行的？（  ）,"{'A': '数据分片阶段', 'B': '本地计算阶段', 'C': '全局通信阶段', 'D': '栅栏同步阶段'}","[""B""]",1.0,1.0,单选题,4.8,"[585161, 585162, 585164, 585165]",Ex_585167,Chinese
47,14424233_738124,Pm_738124,U_14424233,1,1,1.0,2020-05-18 00:34:28,K_BSP模型_计算机科学与技术,第四讲 分布式编程模型的设计与演化--QUIZ,下面哪些是BSP模型的缺点？（  ）,"{'A': '栅栏同步开销比较大', 'B': '可能产生死锁', 'C': '没有解决负载均衡问题', 'D': '被计算的数据可以保存在内存里'}","[""A""]",1.0,1.0,单选题,4.8,"[585161, 585162, 585164, 585165]",Ex_585167,Chinese
49,14424233_738126,Pm_738126,U_14424233,1,1,2.0,2020-05-18 00:34:33,K_外部变量_计算机科学与技术,第四讲 分布式编程模型的设计与演化--QUIZ,下面哪些是函数式编程语言有特点？（  ）,"{'A': '每个函数都有输出', 'B': '函数可以改变外部变量的状态', 'C': '函数的输出结果不依赖于外部变量', 'D': '函数的输入参数可能是另外一个函数'}","[""A"", ""C"", ""D""]",2.0,2.0,多选题,4.8,"[585161, 585162, 585164, 585165]",Ex_585167,Chinese
50,14424233_738126,Pm_738126,U_14424233,1,1,2.0,2020-05-18 00:34:33,K_外部变量_计算机科学与技术,第四讲 分布式编程模型的设计与演化--QUIZ,下面哪些是函数式编程语言有特点？（  ）,"{'A': '每个函数都有输出', 'B': '函数可以改变外部变量的状态', 'C': '函数的输出结果不依赖于外部变量', 'D': '函数的输入参数可能是另外一个函数'}","[""A"", ""C"", ""D""]",2.0,2.0,多选题,4.8,"[585161, 585162, 585164, 585165]",Ex_585167,Chinese
51,14424233_738126,Pm_738126,U_14424233,1,1,2.0,2020-05-18 00:34:33,K_函数式编程_计算机科学与技术,第四讲 分布式编程模型的设计与演化--QUIZ,下面哪些是函数式编程语言有特点？（  ）,"{'A': '每个函数都有输出', 'B': '函数可以改变外部变量的状态', 'C': '函数的输出结果不依赖于外部变量', 'D': '函数的输入参数可能是另外一个函数'}","[""A"", ""C"", ""D""]",2.0,2.0,多选题,4.8,"[585161, 585162, 585164, 585165]",Ex_585167,Chinese
61,14424233_738136,Pm_738136,U_14424233,1,1,1.0,2020-05-18 00:37:27,K_调度方式_计算机科学与技术,第六讲 全局数据管理与调度--QUIZ,分布式计算过程中，以下哪种计算调度方式代价更小？(  ),"{'A': '将计算发送到数据所在机器运行', 'B': '将数据拷贝到计算所在机器运行', 'C': '将数据和计算拿到统一的节点上运行', 'D': '以上都不对'}","[""A""]",1.0,1.0,单选题,7.10,"[585180, 585181, 585182, 585183, 585184, 585185, 585186]",Ex_585187,Chinese
62,14424233_738136,Pm_738136,U_14424233,1,1,1.0,2020-05-18 00:37:27,K_机器运行_计算机科学与技术,第六讲 全局数据管理与调度--QUIZ,分布式计算过程中，以下哪种计算调度方式代价更小？(  ),"{'A': '将计算发送到数据所在机器运行', 'B': '将数据拷贝到计算所在机器运行', 'C': '将数据和计算拿到统一的节点上运行', 'D': '以上都不对'}","[""A""]",1.0,1.0,单选题,7.10,"[585180, 585181, 585182, 585183, 585184, 585185, 585186]",Ex_585187,Chinese
63,14424233_738136,Pm_738136,U_14424233,1,1,1.0,2020-05-18 00:37:27,K_机器运行_计算机科学与技术,第六讲 全局数据管理与调度--QUIZ,分布式计算过程中，以下哪种计算调度方式代价更小？(  ),"{'A': '将计算发送到数据所在机器运行', 'B': '将数据拷贝到计算所在机器运行', 'C': '将数据和计算拿到统一的节点上运行', 'D': '以上都不对'}","[""A""]",1.0,1.0,单选题,7.10,"[585180, 585181, 585182, 585183, 585184, 585185, 585186]",Ex_585187,Chinese
66,14424233_738139,Pm_738139,U_14424233,1,1,1.0,2020-05-18 00:37:44,K_对流_计算机科学与技术,第七讲 流式计算的系统设计与实现--QUIZ,下面对流式描述正确的是（  ）,"{'A': '它是一种有状态计算，failover必须将数据从最源头重发。', 'B': '数据必须是有序进入，才能保证数据的正确性。', 'C': 'temporal SQL是适合流式计算的SQL语言。', 'D': '流式计算无法支持delete和update语义。'}","[""C""]",1.0,1.0,单选题,9.9,"[585189, 585191, 585192, 585195]",Ex_585198,Chinese
68,14424233_738141,Pm_738141,U_14424233,1,1,2.0,2020-05-18 00:37:50,K_宕机_计算机科学与技术,第七讲 流式计算的系统设计与实现--QUIZ,下面对系统雪崩准确的描述有（  ）,"{'A': '系统雪崩是由于oom，引起系统级联的宕机现象。', 'B': '系统雪崩是由于系统设计问题，由软硬件以及流量异常引发的由细微问题引发更大面积故障，直至系统当机的现象。', 'C': '系统雪崩一般不会因为硬件引发。而是由于流量激增，系统容量设计不足，造成后台系统，包括数据库系统的不正常工作。', 'D': '系统雪崩最初原因与触发宕机的故障可以相关，也有可能无关。'}","[""B"", ""D""]",2.0,2.0,多选题,9.9,"[585189, 585191, 585192, 585195]",Ex_585198,Chinese
69,14424233_738142,Pm_738142,U_14424233,1,1,2.0,2020-05-18 00:37:53,K_系统维护_计算机科学与技术,第七讲 流式计算的系统设计与实现--QUIZ,对于spark streaming不正确的描述有（  ）,"{'A': 'spark streaming的ack机制由一组分布式的系统维护，所以它是scale-out的。', 'B': 'spark streaming使用mini-batch的机制，dstream由多个rdd组成。', 'C': 'spark streaming支持滑动窗口，固定窗口和session窗口。', 'D': 'spark streaming是将流式计算切割成批量计算。但同时，批量计算也可以当作流式计算运行。'}","[""A"", ""C""]",2.0,2.0,多选题,9.9,"[585189, 585191, 585192, 585195]",Ex_585198,Chinese
70,14424233_738142,Pm_738142,U_14424233,1,1,2.0,2020-05-18 00:37:53,K_滑动窗口_计算机科学与技术,第七讲 流式计算的系统设计与实现--QUIZ,对于spark streaming不正确的描述有（  ）,"{'A': 'spark streaming的ack机制由一组分布式的系统维护，所以它是scale-out的。', 'B': 'spark streaming使用mini-batch的机制，dstream由多个rdd组成。', 'C': 'spark streaming支持滑动窗口，固定窗口和session窗口。', 'D': 'spark streaming是将流式计算切割成批量计算。但同时，批量计算也可以当作流式计算运行。'}","[""A"", ""C""]",2.0,2.0,多选题,9.9,"[585189, 585191, 585192, 585195]",Ex_585198,Chinese
75,14424233_738147,Pm_738147,U_14424233,1,1,1.0,2020-05-18 00:38:29,K_监督学习_计算机科学与技术,第九讲 大规模数据的分布式机器学习平台--QUIZ,逻辑回归属于下列那一类机器学习算法：（  ）,"{'A': 'Supervised Learning 监督学习', 'B': 'Unsupervised Learning无监督学习', 'C': 'Reinforcement Learning 加强学习', 'D': '以上都不是'}","[""A""]",1.0,1.0,单选题,11.3,[585205],Ex_585206,Chinese
80,14424233_738152,Pm_738152,U_14424233,1,1,1.0,2020-05-18 00:38:43,K_CAP理论_计算机科学与技术,第九讲 大规模数据的分布式机器学习平台--QUIZ,CAP理论是分布式系统设计领域著名的理论总结，认为CAP三者同时只能满足其二，其中CAP指的是：（ ）,"{'A': '一致性、可用性、分区容忍性', 'B': '原子性、隔离性、持久性', 'C': '易用性、可用性、一致性', 'D': '随机处理、批处理、流式处理'}","[""A""]",1.0,1.0,单选题,11.3,[585205],Ex_585206,Chinese
81,14424233_738152,Pm_738152,U_14424233,1,1,1.0,2020-05-18 00:38:43,K_随机处理_计算机科学与技术,第九讲 大规模数据的分布式机器学习平台--QUIZ,CAP理论是分布式系统设计领域著名的理论总结，认为CAP三者同时只能满足其二，其中CAP指的是：（ ）,"{'A': '一致性、可用性、分区容忍性', 'B': '原子性、隔离性、持久性', 'C': '易用性、可用性、一致性', 'D': '随机处理、批处理、流式处理'}","[""A""]",1.0,1.0,单选题,11.3,[585205],Ex_585206,Chinese
82,14424233_738152,Pm_738152,U_14424233,1,1,1.0,2020-05-18 00:38:43,K_批处理_计算机科学与技术,第九讲 大规模数据的分布式机器学习平台--QUIZ,CAP理论是分布式系统设计领域著名的理论总结，认为CAP三者同时只能满足其二，其中CAP指的是：（ ）,"{'A': '一致性、可用性、分区容忍性', 'B': '原子性、隔离性、持久性', 'C': '易用性、可用性、一致性', 'D': '随机处理、批处理、流式处理'}","[""A""]",1.0,1.0,单选题,11.3,[585205],Ex_585206,Chinese
83,14424233_738152,Pm_738152,U_14424233,1,1,1.0,2020-05-18 00:38:43,K_隔离性_计算机科学与技术,第九讲 大规模数据的分布式机器学习平台--QUIZ,CAP理论是分布式系统设计领域著名的理论总结，认为CAP三者同时只能满足其二，其中CAP指的是：（ ）,"{'A': '一致性、可用性、分区容忍性', 'B': '原子性、隔离性、持久性', 'C': '易用性、可用性、一致性', 'D': '随机处理、批处理、流式处理'}","[""A""]",1.0,1.0,单选题,11.3,[585205],Ex_585206,Chinese
84,14424233_738152,Pm_738152,U_14424233,1,1,1.0,2020-05-18 00:38:43,K_分布式系统设计_计算机科学与技术,第九讲 大规模数据的分布式机器学习平台--QUIZ,CAP理论是分布式系统设计领域著名的理论总结，认为CAP三者同时只能满足其二，其中CAP指的是：（ ）,"{'A': '一致性、可用性、分区容忍性', 'B': '原子性、隔离性、持久性', 'C': '易用性、可用性、一致性', 'D': '随机处理、批处理、流式处理'}","[""A""]",1.0,1.0,单选题,11.3,[585205],Ex_585206,Chinese
89,14424233_738157,Pm_738157,U_14424233,1,1,2.0,2020-05-18 00:39:00,K_卷_计算机科学与技术,第九讲 大规模数据的分布式机器学习平台--QUIZ,常见的深度学习模型包括：（  ）,"{'A': '卷机神经元网络 CNN', 'B': '深度置信模型 DBN', 'C': '递归神经元网络 RNN', 'D': 'K最近邻居模型 KNN'}","[""A"", ""B"", ""C""]",2.0,2.0,多选题,11.3,[585205],Ex_585206,Chinese
90,14424233_738157,Pm_738157,U_14424233,1,1,2.0,2020-05-18 00:39:00,K_近邻_计算机科学与技术,第九讲 大规模数据的分布式机器学习平台--QUIZ,常见的深度学习模型包括：（  ）,"{'A': '卷机神经元网络 CNN', 'B': '深度置信模型 DBN', 'C': '递归神经元网络 RNN', 'D': 'K最近邻居模型 KNN'}","[""A"", ""B"", ""C""]",2.0,2.0,多选题,11.3,[585205],Ex_585206,Chinese
92,14504720_146588,Pm_146588,U_14504720,1,1,1.0,2020-06-19 08:31:48,K_命令提示符_计算机科学与技术,初识Linux--初识Linux测试,当您在命令提示符的后面输入命令的一部分时，按（__）键，Linux会帮你打剩下的字符，补充成为完整命令，如果有多个相符的命令，连按两下（__）键，Linux会显示所有的相符的命令。,"{'A': 'TAB', 'B': 'CONTRL', 'C': 'SHIFT', 'D': 'SPACE'}","[""A""]",1.0,1.0,单选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
93,14504720_146589,Pm_146589,U_14504720,1,1,2.0,2020-06-19 08:32:37,K_自由软件_计算机科学与技术,初识Linux--初识Linux测试,下面的选项哪些是正确的？,"{'A': 'Linux操作系统是由Linus Torvalds发明的', 'B': 'Linux操作系统是由Richard Stallman发明的', 'C': 'Linus Torvalds和Richard Stallman的工作共同造就了Linux', 'D': '自由软件运动和互联网的兴起造就了Linux操作系统'}","[""C"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
95,14504720_146591,Pm_146591,U_14504720,0,1,0.0,2020-06-19 08:35:36,K_闭源_计算机科学与技术,初识Linux--初识Linux测试,"关于CentOS,下面哪些说法是正确的？","{'A': 'CentOS100%兼容红帽企业版(RHEL)', 'B': 'CentOS不提供专门技术支持，不包含封闭源代码软件', 'C': 'CentOS 64位版本可以安装在32位架构的机器上', 'D': 'CentOS是利用用红帽企业版(RHEL)源代码重新编译而成的'}","[""A"", ""B"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
97,14776653_189415,Pm_189415,U_14776653,1,1,1.0,2020-09-14 23:17:57,K_设计原则_计算机科学与技术,第一讲 智能建筑和综合布线系统--1.1智能建筑和综合布线系统,综合布线要求设计一个结构合理、技术先进、满足需求的综合布线系统方案，下列哪项不属于综合布线系统的设计原则。(  ),"{'A': '综合考虑用户需求、建筑物功能、经济发展水平等因素', 'B': '长远规划思想、保持一定的先进性', 'C': '不必将综合布线系统纳入建筑物整体规划、设计和建设中', 'D': '扩展性、标准化、灵活的管理方式'}","[""C""]",1.0,1.0,单选题,1.1,[150598],Ex_150601,Chinese
98,14776653_189415,Pm_189415,U_14776653,1,1,1.0,2020-09-14 23:17:57,K_综合_计算机科学与技术,第一讲 智能建筑和综合布线系统--1.1智能建筑和综合布线系统,综合布线要求设计一个结构合理、技术先进、满足需求的综合布线系统方案，下列哪项不属于综合布线系统的设计原则。(  ),"{'A': '综合考虑用户需求、建筑物功能、经济发展水平等因素', 'B': '长远规划思想、保持一定的先进性', 'C': '不必将综合布线系统纳入建筑物整体规划、设计和建设中', 'D': '扩展性、标准化、灵活的管理方式'}","[""C""]",1.0,1.0,单选题,1.1,[150598],Ex_150601,Chinese
101,14956092_146588,Pm_146588,U_14956092,1,1,1.0,2020-05-21 07:05:42,K_命令提示符_计算机科学与技术,初识Linux--初识Linux测试,当您在命令提示符的后面输入命令的一部分时，按（__）键，Linux会帮你打剩下的字符，补充成为完整命令，如果有多个相符的命令，连按两下（__）键，Linux会显示所有的相符的命令。,"{'A': 'TAB', 'B': 'CONTRL', 'C': 'SHIFT', 'D': 'SPACE'}","[""A""]",1.0,1.0,单选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
102,14956092_146589,Pm_146589,U_14956092,1,1,2.0,2020-05-21 07:05:59,K_自由软件_计算机科学与技术,初识Linux--初识Linux测试,下面的选项哪些是正确的？,"{'A': 'Linux操作系统是由Linus Torvalds发明的', 'B': 'Linux操作系统是由Richard Stallman发明的', 'C': 'Linus Torvalds和Richard Stallman的工作共同造就了Linux', 'D': '自由软件运动和互联网的兴起造就了Linux操作系统'}","[""C"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
104,14956092_146591,Pm_146591,U_14956092,0,1,0.0,2020-05-21 07:06:36,K_闭源_计算机科学与技术,初识Linux--初识Linux测试,"关于CentOS,下面哪些说法是正确的？","{'A': 'CentOS100%兼容红帽企业版(RHEL)', 'B': 'CentOS不提供专门技术支持，不包含封闭源代码软件', 'C': 'CentOS 64位版本可以安装在32位架构的机器上', 'D': 'CentOS是利用用红帽企业版(RHEL)源代码重新编译而成的'}","[""A"", ""B"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
105,14956092_146592,Pm_146592,U_14956092,1,1,2.0,2020-05-21 07:07:04,K_Swap分区_计算机科学与技术,初识Linux--初识Linux测试,安装Linux所要的两个最基本的分区分别是以（ ）和（ ）。,"{'A': '/boot分区', 'B': '/home分区', 'C': '根分区', 'D': 'Swap分区'}","[""C"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
106,14956092_146593,Pm_146593,U_14956092,0,1,0.0,2020-05-21 07:07:28,K_主机名_计算机科学与技术,初识Linux--初识Linux测试,在Linux中，打开BASH后的命令提示符，能够告诉你有关主机的哪些信息？,"{'A': '登录的主机名', 'B': '登录的用户名', 'C': '用户当前所处的工作目录', 'D': '用户上次登录时间'}","[""A"", ""B"", ""C""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
107,14956092_146593,Pm_146593,U_14956092,0,1,0.0,2020-05-21 07:07:28,K_命令提示符_计算机科学与技术,初识Linux--初识Linux测试,在Linux中，打开BASH后的命令提示符，能够告诉你有关主机的哪些信息？,"{'A': '登录的主机名', 'B': '登录的用户名', 'C': '用户当前所处的工作目录', 'D': '用户上次登录时间'}","[""A"", ""B"", ""C""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
111,14956092_146597,Pm_146597,U_14956092,1,1,2.0,2020-05-21 07:08:40,K_系统管理员_计算机科学与技术,初识Linux--初识Linux测试,下面关于关机和重启的说法，哪些是正确的？,"{'A': '关机是系统管理员要给予充分重视的一件大事.', 'B': 'shutdown -k now 命令用于立即关机', 'C': '不恰当或者不正确的关机和重启，可能会导致数据丢失', 'D': '关机和重启命令默认情况下普通用户亦可执行'}","[""A"", ""C""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
112,14956092_146598,Pm_146598,U_14956092,0,1,0.0,2020-05-21 07:08:59,K_Shell脚本_计算机科学与技术,初识Linux--初识Linux测试,Linux中所谓的命令(Command)，广义上包括：,"{'A': '可执行的二进制文件', 'B': '可执行的库文件', 'C': 'shell脚本文件', 'D': 'shell内建函数'}","[""A"", ""C"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
