content,option,answer,is_correct,concept_id,course_name,knowledge_chain,explanation
伏羲资源调度的目标包括？(  ),"{'A': '集群资源利用率最大化', 'B': '每个任务的资源等待时间最小化', 'C': '能分组控制资源配额', 'D': '能支持临时紧急任务'}","[""A"", ""B"", ""C"", ""D""]",1,K_资源调度_计算机科学与技术,大数据平台核心技术,K_资源调度_计算机科学与技术,"The student correctly identified all the goals of resource scheduling in the context of 伏羲 (Fuxi), which include maximizing cluster resource utilization (A), minimizing the resource waiting time for each task (B), allowing group control of resource quotas (C), and supporting temporary emergency tasks (D). These are typical objectives aimed at optimizing the efficiency and adaptability of resource management within a computing environment."
伏羲在支持大规模方面采用了哪些技术？(  ),"{'A': '多线程', 'B': '增量资源调度', 'C': '异步', 'D': '增加数据量'}","[""A"", ""B"", ""C""]",1,K_加数_计算机科学与技术,大数据平台核心技术,K_加数_计算机科学与技术,"The student correctly answered the question by selecting options A, B, and C. Fuxi, in supporting large-scale operations, utilizes technologies like multithreading (option A), incremental resource scheduling (option B), and asynchronous processing (option C). These technologies are commonly used to improve efficiency and scalability in big data platforms. Option D, increasing data volume, does not describe a technology for supporting large-scale operations, but rather an element of large-scale data handling."
下面哪个阶段在BSP模型中可以独立并发执行的？（  ）,"{'A': '数据分片阶段', 'B': '本地计算阶段', 'C': '全局通信阶段', 'D': '栅栏同步阶段'}","[""B""]",1,K_BSP模型_计算机科学与技术,大数据平台核心技术,K_BSP模型_计算机科学与技术,"The student correctly identified the '本地计算阶段' (local computation phase) as the phase in the BSP (Bulk Synchronous Parallel) model that can be executed independently and concurrently. In the BSP model, this phase involves parallel computation and processing on local data without the need for immediate coordination or data exchange between different processes, which aligns with the concept of concurrent execution."
下面哪些是BSP模型的缺点？（  ）,"{'A': '栅栏同步开销比较大', 'B': '可能产生死锁', 'C': '没有解决负载均衡问题', 'D': '被计算的数据可以保存在内存里'}","[""A""]",1,K_BSP模型_计算机科学与技术,大数据平台核心技术,K_BSP模型_计算机科学与技术,"The student correctly identified '栅栏同步开销比较大' (Barrier synchronization overhead is relatively large) as one of the disadvantages of the BSP (Bulk Synchronous Parallel) model. This choice is correct because, in the BSP model, barrier synchronization can result in significant overhead, leading to inefficiencies, especially with increasing numbers of processors. The other options either do not directly pertain to well-known disadvantages of the BSP model or are not typical criticisms of it."
下面哪些是函数式编程语言有特点？（  ）,"{'A': '每个函数都有输出', 'B': '函数可以改变外部变量的状态', 'C': '函数的输出结果不依赖于外部变量', 'D': '函数的输入参数可能是另外一个函数'}","[""A"", ""C"", ""D""]",1,K_外部变量_计算机科学与技术,大数据平台核心技术,K_外部变量_计算机科学与技术,"The student answered correctly. In functional programming, every function is expected to have an output ('A'), functions do not depend on external variables for their results, which aligns with the option that the function's output is independent of external variables ('C'), and functions can take other functions as input parameters ('D'). Option 'B' is incorrect as functional programming discourages modifying external state."
分布式计算过程中，以下哪种计算调度方式代价更小？(  ),"{'A': '将计算发送到数据所在机器运行', 'B': '将数据拷贝到计算所在机器运行', 'C': '将数据和计算拿到统一的节点上运行', 'D': '以上都不对'}","[""A""]",1,K_调度方式_计算机科学与技术,大数据平台核心技术,K_调度方式_计算机科学与技术,"The student's answer is correct. In distributed computing, sending computation tasks to the machine where the data resides (option A) generally incurs less cost than moving data to the computation node or centralizing both data and computation. This is because transferring large datasets across nodes can be more resource-intensive, whereas sending smaller computation tasks to existing data locations minimizes data movement and network load, optimizing performance."
下面对流式描述正确的是（  ）,"{'A': '它是一种有状态计算，failover必须将数据从最源头重发。', 'B': '数据必须是有序进入，才能保证数据的正确性。', 'C': 'temporal SQL是适合流式计算的SQL语言。', 'D': '流式计算无法支持delete和update语义。'}","[""C""]",1,K_对流_计算机科学与技术,大数据平台核心技术,K_对流_计算机科学与技术,The student correctly identified option 'C' as the right description about stream processing. Temporal SQL is indeed suitable for stream processing as it can handle the temporal characteristics of data streams. The other options provide incorrect or misleading information about stream processing: Option 'A' is incorrect because it oversimplifies the failover process; Option 'B' is incorrect as data does not necessarily have to be ordered; and Option 'D' is incorrect because some stream processing engines can support delete and update semantics.
下面对系统雪崩准确的描述有（  ）,"{'A': '系统雪崩是由于oom，引起系统级联的宕机现象。', 'B': '系统雪崩是由于系统设计问题，由软硬件以及流量异常引发的由细微问题引发更大面积故障，直至系统当机的现象。', 'C': '系统雪崩一般不会因为硬件引发。而是由于流量激增，系统容量设计不足，造成后台系统，包括数据库系统的不正常工作。', 'D': '系统雪崩最初原因与触发宕机的故障可以相关，也有可能无关。'}","[""B"", ""D""]",1,K_宕机_计算机科学与技术,大数据平台核心技术,K_宕机_计算机科学与技术,"The student correctly identified options 'B' and 'D' as accurate descriptions of '系统雪崩' (system avalanche). Option 'B' describes the systemic failure due to design issues and how minor problems can escalate into larger failures, which aligns with the concept of a cascading system failure. Option 'D' notes that the initial cause of system failure may or may not be related to the resulting shutdown, reflecting the unpredictable and complex nature of such failures. Therefore, the student's selections are correct."
对于spark streaming不正确的描述有（  ）,"{'A': 'spark streaming的ack机制由一组分布式的系统维护，所以它是scale-out的。', 'B': 'spark streaming使用mini-batch的机制，dstream由多个rdd组成。', 'C': 'spark streaming支持滑动窗口，固定窗口和session窗口。', 'D': 'spark streaming是将流式计算切割成批量计算。但同时，批量计算也可以当作流式计算运行。'}","[""A"", ""C""]",1,K_系统维护_计算机科学与技术,大数据平台核心技术,K_系统维护_计算机科学与技术,"The student correctly identified the statements that are not true about Spark Streaming. Option A is incorrect because Spark Streaming does not inherently scale-out due to its acknowledgement mechanism, which may require additional configuration and resources. Option C is also incorrect because Spark Streaming primarily supports sliding windows and fixed windows; session windows are not a direct feature in the traditional Spark Streaming API. The student's understanding of these concepts appears accurate as reflected in their correct answer."
逻辑回归属于下列那一类机器学习算法：（  ）,"{'A': 'Supervised Learning 监督学习', 'B': 'Unsupervised Learning无监督学习', 'C': 'Reinforcement Learning 加强学习', 'D': '以上都不是'}","[""A""]",1,K_监督学习_计算机科学与技术,大数据平台核心技术,K_监督学习_计算机科学与技术,"The student correctly answered that logistic regression is a type of supervised learning algorithm. In supervised learning, the model is trained on a labeled dataset, which means the data includes both the input variables and the correct output. Logistic regression analyzes the data to learn the relationship between the input features and the target variable, making it a suitable choice under supervised learning algorithms."
CAP理论是分布式系统设计领域著名的理论总结，认为CAP三者同时只能满足其二，其中CAP指的是：（ ）,"{'A': '一致性、可用性、分区容忍性', 'B': '原子性、隔离性、持久性', 'C': '易用性、可用性、一致性', 'D': '随机处理、批处理、流式处理'}","[""A""]",1,K_CAP理论_计算机科学与技术,大数据平台核心技术,K_CAP理论_计算机科学与技术,"The student correctly answered the question about CAP theory, which is a fundamental concept in distributed systems. The correct answer, 'A: 一致性、可用性、分区容忍性' (Consistency, Availability, Partition Tolerance), reflects the three properties that cannot all be achieved simultaneously in a distributed computing environment. This theory explains the trade-offs and limitations in distributed system design. The other options describe different sets of properties that do not apply to CAP theory."
常见的深度学习模型包括：（  ）,"{'A': '卷机神经元网络 CNN', 'B': '深度置信模型 DBN', 'C': '递归神经元网络 RNN', 'D': 'K最近邻居模型 KNN'}","[""A"", ""B"", ""C""]",1,K_卷_计算机科学与技术,大数据平台核心技术,K_卷_计算机科学与技术,"The student correctly identified common deep learning models by selecting options 'A', 'B', and 'C', which refer to Convolutional Neural Networks (CNN), Deep Belief Networks (DBN), and Recurrent Neural Networks (RNN), respectively. These are well-known deep learning architectures used for various types of data processing and analysis. Option 'D', K-Nearest Neighbors (KNN), is not a deep learning model but rather a basic classification algorithm typically used in machine learning."
当您在命令提示符的后面输入命令的一部分时，按（__）键，Linux会帮你打剩下的字符，补充成为完整命令，如果有多个相符的命令，连按两下（__）键，Linux会显示所有的相符的命令。,"{'A': 'TAB', 'B': 'CONTRL', 'C': 'SHIFT', 'D': 'SPACE'}","[""A""]",1,K_命令提示符_计算机科学与技术,Linux系统管理,K_命令提示符_计算机科学与技术,"The student correctly answered 'A' (TAB) because in Linux, the TAB key is used for auto-completion in the command prompt. When you start typing a command and press TAB, it completes the command if there is a unique match, or lists possible completions when pressed twice if there are multiple matches."
下面的选项哪些是正确的？,"{'A': 'Linux操作系统是由Linus Torvalds发明的', 'B': 'Linux操作系统是由Richard Stallman发明的', 'C': 'Linus Torvalds和Richard Stallman的工作共同造就了Linux', 'D': '自由软件运动和互联网的兴起造就了Linux操作系统'}","[""C"", ""D""]",1,K_自由软件_计算机科学与技术,Linux系统管理,K_自由软件_计算机科学与技术,"The student correctly identified the statements 'Linus Torvalds and Richard Stallman's work together led to Linux' and 'The free software movement and the rise of the internet led to the Linux operating system' as true. Linus Torvalds initiated the Linux project, and Richard Stallman's GNU project contributed vital components, which align with statement C. Statement D is accurate because the free software movement and the growing internet helped proliferate Linux's development and adoption."
"关于CentOS,下面哪些说法是正确的？","{'A': 'CentOS100%兼容红帽企业版(RHEL)', 'B': 'CentOS不提供专门技术支持，不包含封闭源代码软件', 'C': 'CentOS 64位版本可以安装在32位架构的机器上', 'D': 'CentOS是利用用红帽企业版(RHEL)源代码重新编译而成的'}","[""A"", ""B"", ""D""]",0,K_闭源_计算机科学与技术,Linux系统管理,K_闭源_计算机科学与技术,"The student's answer included 'A', 'B', and 'D' as correct statements. However, statement 'C' was crucial to be missed, as it was the false statement. 'C' claims that CentOS 64-bit can run on a 32-bit machine, which is incorrect since a 64-bit operating system requires a compatible 64-bit architecture. 'A', 'B', and 'D' are indeed correct: CentOS aims to be 100% compatible with RHEL, does not include proprietary software or official support, and is compiled from RHEL's source code. The student's mistake was in failing to recognize the incorrect statement."
综合布线要求设计一个结构合理、技术先进、满足需求的综合布线系统方案，下列哪项不属于综合布线系统的设计原则。(  ),"{'A': '综合考虑用户需求、建筑物功能、经济发展水平等因素', 'B': '长远规划思想、保持一定的先进性', 'C': '不必将综合布线系统纳入建筑物整体规划、设计和建设中', 'D': '扩展性、标准化、灵活的管理方式'}","[""C""]",1,K_设计原则_计算机科学与技术,网络综合布线,K_设计原则_计算机科学与技术,"The student correctly identified that option C is not a design principle for an integrated wiring system. Comprehensive wiring should be part of the building's overall planning, design, and construction to ensure it meets the desired technical standards and integrates seamlessly with the building’s functionality. Options A, B, and D describe principles necessary for an effective system, such as considering user needs and maintaining flexibility."
安装Linux所要的两个最基本的分区分别是以（ ）和（ ）。,"{'A': '/boot分区', 'B': '/home分区', 'C': '根分区', 'D': 'Swap分区'}","[""C"", ""D""]",1,K_Swap分区_计算机科学与技术,Linux系统管理,K_Swap分区_计算机科学与技术,"The student correctly identified that the two most basic partitions required to install Linux are the root partition (C) and the swap partition (D). The root partition ('/') is essential because it contains the core system files needed to run the operating system, while the swap partition is used for memory management, acting as an overflow for RAM."
在Linux中，打开BASH后的命令提示符，能够告诉你有关主机的哪些信息？,"{'A': '登录的主机名', 'B': '登录的用户名', 'C': '用户当前所处的工作目录', 'D': '用户上次登录时间'}","[""A"", ""B"", ""C""]",0,K_主机名_计算机科学与技术,Linux系统管理,K_主机名_计算机科学与技术,"The student selected options A, B, and C, which correspond to the hostname, the username, and the current working directory respectively. This is correct as the BASH prompt typically displays these pieces of information. However, the student incorrectly answered overall because they selected an option—likely option D (user's last login time)—that is not typically displayed in the BASH prompt by default. Hence, the inclusion of information not typically part of the BASH prompt led to the incorrect answer."
下面关于关机和重启的说法，哪些是正确的？,"{'A': '关机是系统管理员要给予充分重视的一件大事.', 'B': 'shutdown -k now 命令用于立即关机', 'C': '不恰当或者不正确的关机和重启，可能会导致数据丢失', 'D': '关机和重启命令默认情况下普通用户亦可执行'}","[""A"", ""C""]",1,K_系统管理员_计算机科学与技术,Linux系统管理,K_系统管理员_计算机科学与技术,"The student correctly selected options 'A' and 'C', which are true statements: 'A' correctly states the importance for system administrators to take shutting down the system seriously, and 'C' highlights the risk of data loss associated with improper shutdowns and restarts. 'B' is incorrect because 'shutdown -k now' only sends a warning message but does not actually shutdown the system. 'D' is incorrect since shutdown and restart commands usually require administrative privileges and cannot be executed by ordinary users by default. Therefore, the student's selection aligns with the correct answers."
Linux中所谓的命令(Command)，广义上包括：,"{'A': '可执行的二进制文件', 'B': '可执行的库文件', 'C': 'shell脚本文件', 'D': 'shell内建函数'}","[""A"", ""C"", ""D""]",0,K_Shell脚本_计算机科学与技术,Linux系统管理,K_Shell脚本_计算机科学与技术,"The student's answer was incorrect because they selected options A, C, and D but missed including B. In Linux, the term 'command' broadly includes executable binary files (A), shell script files (C), shell built-in functions (D), and can also include executable library files (B). Therefore, the correct options should have been A, B, C, and D."
假设当前工作目录下有一个名为sampledir 的目录，该目录下有一个名为sampledir01的目录， 键入 “rmdir sampledir”，会发生什么？,"{'A': 'sampledir和sampledir01被删除', 'B': '出错', 'C': 'sampledir01被删除', 'D': 'sampledir被删除，但sampledir01未被删除'}","[""B""]",0,K_键入_计算机科学与技术,Linux系统管理,K_键入_计算机科学与技术,"The student answered incorrectly. When using the 'rmdir' command to remove a directory in Linux, the directory must be empty. In this case, 'sampledir' contains the subdirectory 'sampledir01', so 'rmdir sampledir' would result in an error, making the correct answer 'B'. The student's misunderstanding might be due to not knowing that the directory must be empty for 'rmdir' to work without errors."
关于Linux中工作目录，下面哪些说法是错误的?,"{'A': '可以在命令提示符中观察到目前所处的工作目录', 'B': '用户登录后初始的默认工作目录总是登录用户的 “家目录”', 'C': '用户的工作目录是固定的', 'D': '可以用～字符代表当前工作目录'}","[""C"", ""D""]",1,K_登录_计算机科学与技术,Linux系统管理,K_登录_计算机科学与技术,"The student answered correctly by identifying options C and D as incorrect statements about working directories in Linux. Option C is incorrect because the user's working directory is not fixed; users can change their working directory using commands like 'cd'. Option D is incorrect because the '~' character represents the home directory, not the current working directory. Therefore, the student's understanding of working directories and their functionalities in Linux is accurate."
要将当前目录下的文件samplefile的文件从属组改为stu用户组，应该使用哪个命令？,"{'A': 'chmod stu ./samplefile', 'B': 'chown stu ./samplefile', 'C': 'chown :stu ./samplefile', 'D': 'chmod :stu ./samplefile'}","[""C""]",1,K_当前目录_计算机科学与技术,Linux系统管理,K_当前目录_计算机科学与技术,"The student correctly answered option C, which is the correct command to change the group ownership of the file 'samplefile' to the group 'stu'. The 'chown' command with the syntax 'chown :group filename' is used for changing the group of a file in Linux, where ':' indicates that the following parameter is a group name."
如用ls -l 命令列出文件，文件的第一个字段是drwxr-x---，表示什么,"{'A': '这是一个符号链接文件，对于文件拥有者可读可写可执行，对于从属用户组里的用户可读不可写可执行，对于其他用户不可读不可写不可执行', 'B': '这是一个普通文件，对于文件拥有者可读可写可执行，对于其他用户可读不可写可执行，对于从属用户组里的用户不可读不可写不可执行。', 'C': '这是一个目录文件，对于文件拥有者可读可写可执行，对于从属用户组里的用户可读不可写可执行，对于其他用户不可读不可写不可执行', 'D': '这是一个目录文件，对于文件拥有者可读可写可执行，对于从属用户组里的用户可读可写可执行，对于其他用户不可读不可写不可执行'}","[""C""]",1,K_符号链接_计算机科学与技术,Linux系统管理,K_符号链接_计算机科学与技术,"The student correctly identified that 'drwxr-x---' indicates a directory file ('d'), with specific permissions. The owner ('rwx') has read, write, and execute permissions. Users in the group ('r-x') have read and execute permissions but cannot write. Other users ('---') have no permissions. This matches option C."
用root用户登录系统，使用rm命令删除文件时，以下哪些做法是对的？,"{'A': 'rm ./sampledir 可以删除当前目录下的sampledir目录', 'B': 'rm -f ./file01 可以删除当前目录下的file01文件，并在删除前会向用户进行确认。', 'C': 'rm -R ./sampledir 可以删除当前目录下的sampledir目录', 'D': 'rm file01 file02 可以删除当前工作目录下的file01 和file02文件，并在删除前会向用户进行确认。'}","[""C"", ""D""]",1,K_登录_计算机科学与技术,Linux系统管理,K_登录_计算机科学与技术,"The student correctly identified options C and D. Option C correctly describes that 'rm -R ./sampledir' can be used to delete a directory and its contents recursively. Option D correctly states that 'rm file01 file02' deletes specified files without requiring confirmation, as the '-i' option (interactive) is not used and root user operations do not prompt for confirmation by default. Options A and B are incorrect because removing a directory requires the '-R' or '--recursive' option, and the '-f' option actually forces deletion without confirmation, contrary to what option B suggests."
关于cp命令，哪些表述是正确的？,"{'A': 'cp命令可以同时拷贝多个文件', 'B': '默认情况下，cp命令拷贝时遇到同名文件会自动覆盖', 'C': '默认情况下，cp命令拷贝时会将文件属性一并进行拷贝', 'D': 'cp命令拷贝同时还可以重命名文件'}","[""A"", ""D""]",1,K_文件属性_计算机科学与技术,Linux系统管理,K_文件属性_计算机科学与技术,"The student's answer correctly identifies the valid statements about the 'cp' command. Option A is correct because 'cp' can indeed copy multiple files at once when specified. Option D is correct because 'cp' can be used to rename files when copying by specifying a different destination filename. The student didn't choose B or C, which is correct because by default 'cp' does overwrite files without prompting unless the -i option is used, and it doesn’t preserve all attributes unless the -p option is used."
关于cp命令，哪些用法是可以达成目标？,"{'A': 'cp -R ~/sampledir . 可以将当前用户家目录下的sampledir目录拷贝到当前目录中。', 'B': 'cp ./file01 ./file02 .. 可以将当前目录下的file01文件拷贝到当前目录中并重命名为file02, 同时将file01文件拷贝到当前目录的上层目录中。', 'C': 'cp /home/stu/file01 ~/root 可以将file01目录拷贝到根用户家目录下', 'D': 'cp -R ../sampledir ~root 可以将上层目录中的sampledir目录拷贝到根用户家目录下'}","[""A"", ""D""]",0,K_当前目录_计算机科学与技术,Linux系统管理,K_当前目录_计算机科学与技术,"The student's answer, options A and D, is incorrect. Option A is correct because using 'cp -R ~/sampledir .' will recursively copy the directory 'sampledir' from the user's home directory to the current directory. However, option D is incorrect because '~root' is not a valid path for the root user's home directory; it should be '/root'. Therefore, the correct answers should include A, and potentially other options if they are valid. The student did not identify another correct option if it exists, contributing to the incorrect answer."
在使用ln建立文件链接时，为了跨越不同的文件系统，我们需要使用,"{'A': '普通链接', 'B': '硬链接', 'C': '符号链接', 'D': '特殊链接'}","[""C""]",1,K_硬链接_计算机科学与技术,Linux系统管理,K_硬链接_计算机科学与技术,"The student's answer is correct. When creating file links in Linux, symbolic links (选项C) are used for linking files across different file systems. Hard links (选项B) cannot be used in this scenario as they only work within the same file system. Therefore, the correct choice of symbolic links enables the linking of files across these boundaries."
关于硬链接，下面哪些描述是正确的？,"{'A': '不可以跨文件系统。', 'B': '可以做目录的连接', 'C': '硬链接文件的inode-number与被链接文件的inode-number相同', 'D': '硬链接和符号链接的原理事实上是一样的'}","[""A"", ""C""]",1,K_硬链接_计算机科学与技术,Linux系统管理,K_硬链接_计算机科学与技术,"The student correctly identified that options A and C are true about hard links. Hard links indeed cannot be created across different file systems, as they must reside within the same file system to share the same inode number. Additionally, hard links share the same inode number as the original file, making option C correct. The other options are incorrect because hard links cannot link directories (option B), and the principles of hard links differ from symbolic links (option D)."
关于文件硬链接和源文件的关系，下面哪些描述是正确的？,"{'A': '文件硬链接和源文件实际上共用一份文件内容数据', 'B': '源文件删除对文件硬链接没有影响', 'C': '一个硬盘分区上文件的硬链接可以位于另外一个分区上', 'D': '对于文件硬链接内容的改动不会影响到源文件'}","[""A"", ""B""]",0,K_硬链接_计算机科学与技术,Linux系统管理,K_硬链接_计算机科学与技术,"The student's answer of 'A' and 'B' is partially correct. 'A' is correct because both the hard link and the source file point to the same inode, sharing the same file content data. 'B' is also correct, as deleting the source file does not remove the hard link, and the data remains accessible through the hard link itself until all links are removed. However, the student missed option 'D', which is incorrect because changes to the hard link do affect the source file, since they reference the same data contents. They also mistakenly left out 'C', which is incorrect because a hard link must reside on the same file system as the source file."
关于符号链接，下面哪些描述是正确的？,"{'A': '可以通过符号链接文件来读、写和执行源文件。', 'B': '符号链接文件和源文件实际上是同一个文件。', 'C': '删除源文件，符号链接文件将变得不可用', 'D': '不能为符号链接文件再创建符号链接'}","[""A"", ""C""]",1,K_符号链接_计算机科学与技术,Linux系统管理,K_符号链接_计算机科学与技术,"The student correctly identified that options 'A' and 'C' are true regarding symbolic links. Option 'A' is correct because symbolic links allow access (read, write, execute) to the target file. Option 'C' is correct because if the source file is deleted, the symbolic link becomes invalid as it points to a non-existent file. Options 'B' and 'D' are incorrect; option 'B' is false as a symbolic link is a different entity from the source file itself, and option 'D' is false because it is possible to create symbolic links to other symbolic links."
